epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,current_beta,current_lr
1,0.0051191587553326805,0.0048824944050615045,0.0051191587553326805,0.0048824944050615045,0.03592376156992449,0.04017958532159145,0.0,0.0001
2,0.00471730063118702,0.0045025287753587785,0.00471730063118702,0.0045025287753587785,0.04679313254615969,0.0613135859170885,0.0,0.0001
3,0.004352219650050753,0.004160407172160902,0.004352219650050753,0.004160407172160902,0.07822317832229125,0.10851421137418236,0.0,0.0001
4,0.004025206494361936,0.003849338257317758,0.004025206494361936,0.003849338257317758,0.13779492613857916,0.18802017352254097,0.0,0.0001
5,0.0037187312638396444,0.0035528453490556683,0.0037187312638396444,0.0035528453490556683,0.23745048210848516,0.3175546651500523,0.0,0.0001
6,0.003430105332391246,0.0032686407547008033,0.003430105332391246,0.0032686407547008033,0.3960596050449352,0.5243287873906036,0.0,0.0001
7,0.003149965069361243,0.002996708392586098,0.003149965069361243,0.002996708392586098,0.6546948846660468,0.8710262360780135,0.0,0.0001
8,0.0028744581669500374,0.002718182542302138,0.0028744581669500374,0.002718182542302138,1.0928232991316011,1.4659356716085836,0.0,0.0001
9,0.0026058897031299533,0.002448646358703341,0.0026058897031299533,0.002448646358703341,1.8527483189325635,2.5087964933452795,0.0,0.0001
10,0.0023370669153167972,0.002180774067762155,0.0023370669153167972,0.002180774067762155,3.192519206297857,4.350052674079818,0.0,0.0001
11,0.002067609013672887,0.0019181146209336893,0.002067609013672887,0.0019181146209336893,5.473390959415404,7.202759532226767,0.0,0.0001
12,0.001815217660803978,0.0016754803151969977,0.001815217660803978,0.0016754803151969977,8.557235335984222,10.436329159050882,0.0,0.0001
13,0.0015790280640293755,0.0014520204080156608,0.0015790280640293755,0.0014520204080156608,11.97335515749115,14.293160186563448,0.0,0.0001
14,0.0013598822317767883,0.0012398103211560974,0.0013598822317767883,0.0012398103211560974,16.105824005663695,18.841918543429678,0.0,0.0001
15,0.0011574609883338637,0.0010521614734849652,0.0011574609883338637,0.0010521614734849652,20.863441952908257,23.443349525681306,0.0,0.0001
16,0.000981048995962794,0.0008845927065665083,0.000981048995962794,0.0008845927065665083,25.492879123144615,28.46386385761376,0.0,0.0001
17,0.0008210397021840303,0.0007433566195893422,0.0008210397021840303,0.0007433566195893422,30.409569527835302,32.86643615773689,0.0,0.0001
18,0.0006902597858640717,0.0006191617393411421,0.0006902597858640717,0.0006191617393411421,34.74335586445615,36.97661866152964,0.0,0.0001
19,0.0005746744967017392,0.0005166104963176999,0.0005746744967017392,0.0005166104963176999,38.84903233334846,41.247440146761996,0.0,0.0001
20,0.00047569950667936887,0.00042870190784173167,0.00047569950667936887,0.00042870190784173167,42.90324219107828,44.489025154241354,0.0,0.0001
21,0.00039442121713278717,0.00035281825811060203,0.00039442121713278717,0.00035281825811060203,45.99960789129363,47.770161848801834,0.0,0.0001
22,0.00032745377568939895,0.0002928996353720106,0.00032745377568939895,0.0002928996353720106,48.85224345860569,50.280505215443895,0.0,0.0001
23,0.00027357991303159686,0.00024563980204704214,0.00027357991303159686,0.00024563980204704214,51.595153904440416,52.98649294798988,0.0,0.0001
24,0.00022860081729688176,0.00020655845388276408,0.00022860081729688176,0.00020655845388276408,53.99928826822508,55.40951584015403,0.0,0.0001
25,0.0001926915590917314,0.0001773839165946394,0.0001926915590917314,0.0001773839165946394,56.309015871492065,57.35611854987001,0.0,0.0001
26,0.0001649885642938191,0.000151428074218149,0.0001649885642938191,0.000151428074218149,58.23630321125689,59.033193556361375,0.0,0.0001
27,0.00014216895478464026,0.00013154276174977484,0.00014216895478464026,0.00013154276174977484,59.90449848526487,60.68975830078125,0.0,0.0001
28,0.0001242188725218222,0.00011627119941517,0.0001242188725218222,0.00011627119941517,61.41239653160824,62.41533882881088,0.0,0.0001
29,0.00010958797233729113,0.00010340302942860342,0.00010958797233729113,0.00010340302942860342,62.84616738707576,63.618116525503304,0.0,0.0001
30,9.84303032553488e-05,9.161521859558916e-05,9.84303032553488e-05,9.161521859558916e-05,64.11236283447674,64.7026715485946,0.0,0.0001
31,8.876889085976665e-05,8.33250321305737e-05,8.876889085976665e-05,8.33250321305737e-05,65.12977506806902,65.66790916927683,0.0,0.0001
32,8.00586886319037e-05,7.589227410133019e-05,8.00586886319037e-05,7.589227410133019e-05,66.09690563003821,66.60451527981455,0.0,0.0001
33,7.260896373390792e-05,6.891168624958504e-05,7.260896373390792e-05,6.891168624958504e-05,66.93766407671086,67.40316065657498,0.0,0.0001
34,6.685126893379502e-05,6.438019889563379e-05,6.685126893379502e-05,6.438019889563379e-05,68.08112086003749,69.04479444624987,0.0,0.0001
35,6.20282440022386e-05,5.877741778113281e-05,6.20282440022386e-05,5.877741778113281e-05,69.66285855087203,70.34718202826969,0.0,0.0001
36,5.674659955752873e-05,5.475103561758659e-05,5.674659955752873e-05,5.475103561758659e-05,70.76805308995334,71.24472183686834,0.0,0.0001
37,5.347818328583242e-05,5.101715097745825e-05,5.347818328583242e-05,5.101715097745825e-05,71.57090465347571,71.98566694482912,0.0,0.0001
38,4.9409189199242144e-05,4.766143459934168e-05,4.9409189199242144e-05,4.766143459934168e-05,72.54635400308835,73.16755326695267,0.0,0.0001
39,4.6712067579061585e-05,4.5199278685327364e-05,4.6712067579061585e-05,4.5199278685327364e-05,73.71960623020702,74.17292650407772,0.0,0.0001
40,4.4175920981860765e-05,4.255075893591837e-05,4.4175920981860765e-05,4.255075893591837e-05,74.17063852690373,74.48804073269949,0.0,0.0001
41,4.1475833056136184e-05,4.0252129524423705e-05,4.1475833056136184e-05,4.0252129524423705e-05,75.16134966877438,75.73865651924874,0.0,0.0001
42,3.91854326464189e-05,3.7442167298996784e-05,3.91854326464189e-05,3.7442167298996784e-05,76.28804515793895,76.79136354070044,0.0,0.0001
43,3.7482494504787295e-05,3.589394566194967e-05,3.7482494504787295e-05,3.589394566194967e-05,76.92918948072884,77.04645007589589,0.0,0.0001
44,3.541857766617757e-05,3.450075465452664e-05,3.541857766617757e-05,3.450075465452664e-05,76.99763625510774,77.08642100968888,0.0,0.0001
45,3.405998829523861e-05,3.378459845054786e-05,3.405998829523861e-05,3.378459845054786e-05,77.53390391747556,78.22276826686284,0.0,0.0001
46,3.207832000275272e-05,3.0914117157946724e-05,3.207832000275272e-05,3.0914117157946724e-05,79.21437690006428,80.40820988683797,0.0,0.0001
47,3.0338519221246618e-05,3.0172906358180066e-05,3.0338519221246618e-05,3.0172906358180066e-05,81.4418436941789,82.50855681250327,0.0,0.0001
48,2.8793788700647476e-05,2.854074148103411e-05,2.8793788700647476e-05,2.854074148103411e-05,83.25164490768458,83.87989317214608,0.0,0.0001
49,2.7620493131948104e-05,2.7898026895136993e-05,2.7620493131948104e-05,2.7898026895136993e-05,84.03244077340642,84.23769855818222,0.0,0.0001
50,2.6812163999922715e-05,2.6636614138533028e-05,2.6812163999922715e-05,2.6636614138533028e-05,84.34834076132208,84.47098913798763,0.0,0.0001
51,2.6024054147777347e-05,2.486311814665598e-05,2.6024054147777347e-05,2.486311814665598e-05,84.58487916112546,84.76572739719148,0.0,0.0001
52,2.5417113927876658e-05,2.541638831489246e-05,2.5417113927876658e-05,2.541638831489246e-05,85.02696159017745,85.39675992627606,0.0,0.0001
53,2.3970124386698498e-05,2.3326045381591304e-05,2.3970124386698498e-05,2.3326045381591304e-05,85.81766449945856,86.16633019080528,0.0,0.0001
54,2.362198621928017e-05,2.278193209118235e-05,2.362198621928017e-05,2.278193209118235e-05,86.11637745510593,86.10920378515952,0.0,0.0001
55,2.3050309689677478e-05,2.2286733847098225e-05,2.3050309689677478e-05,2.2286733847098225e-05,86.24737589722702,86.36390703896615,0.0,0.0001
56,2.2368225283839645e-05,2.2016863280392942e-05,2.2368225283839645e-05,2.2016863280392942e-05,86.41328276821118,86.51472496109264,0.0,0.0001
57,2.164984259406246e-05,2.159817053215737e-05,2.164984259406246e-05,2.159817053215737e-05,86.69001495259091,86.90196753664559,0.0,0.0001
58,2.128037040485432e-05,2.071929900976284e-05,2.128037040485432e-05,2.071929900976284e-05,87.04647891046214,87.12429965220167,0.0,0.0001
59,2.0757619157066713e-05,1.9994043545510515e-05,2.0757619157066713e-05,1.9994043545510515e-05,87.00810968855917,86.84235644898686,0.0,0.0001
60,2.0481824788078316e-05,1.9729220990746058e-05,2.0481824788078316e-05,1.9729220990746058e-05,86.70382059119655,86.65805500247407,0.0,0.0001
61,1.9888811013083147e-05,1.9441352679772243e-05,1.9888811013083147e-05,1.9441352679772243e-05,86.96282341731853,87.23198375893277,0.0,0.0001
62,1.9268487848295055e-05,1.8832639538091964e-05,1.9268487848295055e-05,1.8832639538091964e-05,87.28337067774991,87.29096813903604,0.0,0.0001
63,1.8773637378185253e-05,1.8496950524970095e-05,1.8773637378185253e-05,1.8496950524970095e-05,87.21147334675493,87.24882328709631,0.0,0.0001
64,1.8007628326511933e-05,1.8353860319730666e-05,1.8007628326511933e-05,1.8353860319730666e-05,87.54484299958452,87.85197226738053,0.0,0.0001
65,1.7453624890766018e-05,1.722677752148223e-05,1.7453624890766018e-05,1.722677752148223e-05,88.09818210314266,88.26121623061573,0.0,0.0001
66,1.703566525689068e-05,1.715641934594979e-05,1.703566525689068e-05,1.715641934594979e-05,88.14353484085058,87.93735777175546,0.0,0.0001
67,1.7069444590897716e-05,1.7107809920262632e-05,1.7069444590897716e-05,1.7107809920262632e-05,87.6489973595394,87.44480349945783,0.0,0.0001
68,1.634371130095625e-05,1.608081448317644e-05,1.634371130095625e-05,1.608081448317644e-05,87.6201815581202,87.74003248948317,0.0,0.0001
69,1.6219804390528397e-05,1.598640249062479e-05,1.6219804390528397e-05,1.598640249062479e-05,87.69409767547045,87.57048756781231,0.0,0.0001
70,1.6126985121119598e-05,1.6027931478766126e-05,1.6126985121119598e-05,1.6027931478766126e-05,87.38278297922719,87.28048996941301,0.0,0.0001
71,1.592037667831565e-05,1.5662169776945283e-05,1.592037667831565e-05,1.5662169776945283e-05,87.49546453581384,87.68790713919445,0.0,0.0001
72,1.527075550214339e-05,1.4686071823039996e-05,1.527075550214339e-05,1.4686071823039996e-05,87.74266999211143,87.75026417097519,0.0,0.0001
73,1.5341348311514008e-05,1.5511629429126446e-05,1.5341348311514008e-05,1.5511629429126446e-05,87.66024513180732,87.62910239433366,0.0,0.0001
74,1.500983982815392e-05,1.4892259856655237e-05,1.500983982815392e-05,1.4892259856655237e-05,87.8332595058422,87.86390298186338,0.0,0.0001
75,1.5145987135701258e-05,1.4328290684758779e-05,1.5145987135701258e-05,1.4328290684758779e-05,87.48608537734653,87.07822977021387,0.0,0.0001
76,1.5119562035266987e-05,1.5014676772804392e-05,1.5119562035266987e-05,1.5014676772804392e-05,86.82074952245358,86.5441413292518,0.0,0.0001
77,1.499319031193148e-05,1.4739274790119823e-05,1.499319031193148e-05,1.4739274790119823e-05,86.38963411161848,86.24189773610603,0.0,0.0001
