epoch,accuracy,chance_level,divergence_from_chance
1,0.24715934017723962,0.25,-0.002840659822760383
50,0.25,0.25,0.0
100,0.25,0.25,0.0
150,0.25,0.25,0.0
200,0.25,0.25,0.0
250,0.25,0.25,0.0
300,0.25,0.25,0.0
350,0.25,0.25,0.0
400,0.25,0.25,0.0
450,0.25,0.25,0.0
500,0.25,0.25,0.0
550,0.25,0.25,0.0
600,0.25,0.25,0.0
650,0.25,0.25,0.0
700,0.25,0.25,0.0
750,0.25,0.25,0.0
800,0.25,0.25,0.0
850,0.25,0.25,0.0
900,0.25,0.25,0.0
950,0.25,0.25,0.0
1000,0.25,0.25,0.0
1050,0.25,0.25,0.0
1100,0.25,0.25,0.0
1150,0.25,0.25,0.0
1200,0.25,0.25,0.0
1250,0.25,0.25,0.0
1300,0.25,0.25,0.0
1350,0.25,0.25,0.0
1400,0.25,0.25,0.0
1450,0.25,0.25,0.0
1500,0.25,0.25,0.0
