epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,current_lr
1,65.68902355302718,112.51970789982722,1.261228443607684e-05,2.0075024278479377e-05,104.86512164654245,108.01201872044184,3.006497587989922,5.36511017247586,2.2235271643154584,2.086840859623657,3.006497587989922,5.36511017247586,40.619765494137354,37.79264214046823,-0.2144312858581543,-1.9784693717956543,0.0,0.0,0.0001
2,62.075468660798705,93.98711203890899,2.5234206953563515e-05,3.222399829251436e-05,109.12138341140108,110.66574433495767,2.865722084364899,4.482959560726,1.9042089274979916,1.7309113617326104,2.865722084364899,4.482959560726,40.117252931323286,42.14046822742475,-0.07927191257476807,-1.3428823947906494,0.0,0.025,0.0001
3,63.27948727759484,72.3467961186948,3.6477837413221824e-05,4.1039132518556754e-05,111.28819311963055,112.40155621276651,2.9280855064615734,3.4316663542718793,1.8868190633192334,1.4850596624074572,2.9280855064615734,3.4316663542718793,39.86599664991625,48.82943143812709,-0.15741217136383057,-0.5653345584869385,0.0,0.05,0.0001
4,62.166591765692885,70.19247260460487,4.448660041713172e-05,4.926631599207203e-05,113.04863036138129,114.89947974163553,2.8800346447994163,3.2812940843129237,1.8260033000853393,1.826242454075893,2.8800346447994163,3.2812940843129237,42.71356783919598,33.44481605351171,-0.10907649993896484,-0.4462629556655884,0.0,0.075,0.0001
5,62.29378025176337,72.76223190971042,5.7395782701552566e-05,6.884167058549878e-05,117.17016082712554,120.13612603024895,2.891748398392644,3.4251725394590244,1.783065835834548,1.702962479862481,2.891748398392644,3.4251725394590244,40.7035175879397,36.78929765886287,-0.08503401279449463,-0.5726801156997681,0.0,0.1,0.0001
6,61.69156768773269,76.72869041213224,7.2045492211519e-05,7.69644020054019e-05,120.56773183493559,121.79964135721774,2.864078903917092,3.6700416336888853,1.7634189230712813,1.3305269531581714,2.864078903917092,3.6700416336888853,38.19095477386934,49.163879598662206,-0.08445370197296143,-0.7770965099334717,0.0,0.125,0.0001
7,62.25285734243728,71.44959075315342,8.879834355837532e-05,0.00010478006697058939,123.96185104651268,126.22308747664742,2.9088636231382488,3.3740213268177963,1.6295232471309515,1.5868270839735816,2.9088636231382488,3.3740213268177963,41.038525963149084,40.802675585284284,-0.12025332450866699,-0.5255101919174194,0.0,0.15,0.0001
8,61.37772502292141,66.6717933093425,0.00011190713168854296,0.00012499968151220847,127.42850283522102,129.62125429899797,2.8640642441696857,3.1476084085611196,1.6376802995176971,1.4868508553425206,2.8640642441696857,3.1476084085611196,41.79229480737018,45.1505016722408,-0.06970632076263428,-0.307034969329834,0.0,0.17500000000000002,0.0001
9,61.48125869265353,64.5130589973169,0.0001371412375312801,0.00014306773591426866,130.78443338723238,131.61541018278703,2.8691583298758245,3.0311916049906245,1.638139512670699,1.5545452900953516,2.8691583298758245,3.0311916049906245,39.36348408710218,44.481605351170565,-0.095367431640625,-0.1592336893081665,0.0,0.2,0.0001
10,61.977478704660186,64.96281963845958,0.0001455141002097022,0.0001407263113885034,131.96372515552207,130.28562335266318,2.8982673801569083,3.0721209591447707,1.6036881176470912,1.4070339960398084,2.8982673801569083,3.0721209591447707,39.949748743718594,42.14046822742475,-0.09984219074249268,-0.2271207571029663,0.0,0.22499999999999998,0.0001
11,61.05841755827068,70.22439751258263,0.00013045490009771032,0.0001237703922666441,128.93358716852902,127.17971171503481,2.842932403187456,3.2982980200279517,1.6788642979546808,1.7023848518480027,2.842932403187456,3.2982980200279517,40.53601340033501,40.802675585284284,-0.07989084720611572,-0.460734486579895,0.0,0.25,0.0001
12,62.249182568522954,67.1126288347021,0.00012193318916905134,0.00012240190733298908,125.97843221284236,124.80368488528657,2.894260335008503,3.165911019047766,1.744614196782136,1.5167837469872822,2.894260335008503,3.165911019047766,39.36348408710218,39.79933110367893,-0.12542057037353516,-0.36021971702575684,0.0,0.275,0.0001
13,61.507893547939894,65.25313999341881,0.00012072687640767061,0.00012101932027942523,123.78369589187392,122.64259126593038,2.8578553119895846,3.088906048931007,1.739348746624025,1.3890399932861328,2.8578553119895846,3.088906048931007,42.629815745393635,45.819397993311036,-0.060254573822021484,-0.22993624210357666,0.0,0.3,0.0001
14,62.25317699106495,64.50631738107738,0.00012343598029910082,0.0001236994378580198,122.71440865725928,122.38793728423357,2.8830374768830622,3.0326852702775526,1.8359833650253525,1.5400555432839538,2.8830374768830622,3.0326852702775526,39.61474036850921,44.14715719063545,-0.08007633686065674,-0.1856069564819336,0.0,0.325,0.0001
15,63.06377496511693,67.20645797372264,0.00012545318779936512,0.00012988004122703432,121.56089372491118,121.88405956153487,2.88725403844811,3.0994322690676688,2.1264740833685027,2.086086259637788,2.88725403844811,3.0994322690676688,42.3785594639866,42.474916387959865,-0.107718825340271,-0.27354300022125244,0.0,0.35000000000000003,0.0001
16,64.65948410928749,71.505308833808,0.00014814158069017427,0.0001744988790431362,124.3016299913876,128.36535277095527,2.887834816522135,3.169131631436555,2.759929672158144,3.247674985872862,2.887834816522135,3.169131631436555,41.87604690117253,43.812709030100336,-0.10657751560211182,-0.31365299224853516,0.0,0.375,0.0001
