tract_idx,tract_name,modality,stage1_best_r2,stage1_best_mae,stage1_best_site_acc,stage2_best_r2,stage2_best_mae,stage2_best_site_acc,stage2_worst_site_acc,training_time_minutes,status
12,dki_faILF_R,dki_fa,0,0,0,0,0,0,0,0,error
36,dki_mdILF_R,dki_md,0,0,0,0,0,0,0,0,error
24,dki_mdARC_L,dki_md,0,0,0,0,0,0,0,0,error
0,dki_faARC_L,dki_fa,0,0,0,0,0,0,0,0,error
13,dki_faMotor,dki_fa,0,0,0,0,0,0,0,0,error
37,dki_mdMotor,dki_md,0,0,0,0,0,0,0,0,error
25,dki_mdARC_R,dki_md,0,0,0,0,0,0,0,0,error
1,dki_faARC_R,dki_fa,0,0,0,0,0,0,0,0,error
14,dki_faOccipital,dki_fa,0,0,0,0,0,0,0,0,error
38,dki_mdOccipital,dki_md,0,0,0,0,0,0,0,0,error
26,dki_mdATR_L,dki_md,0,0,0,0,0,0,0,0,error
2,dki_faATR_L,dki_fa,0,0,0,0,0,0,0,0,error
15,dki_faOrbital,dki_fa,0,0,0,0,0,0,0,0,error
39,dki_mdOrbital,dki_md,0,0,0,0,0,0,0,0,error
27,dki_mdATR_R,dki_md,0,0,0,0,0,0,0,0,error
3,dki_faATR_R,dki_fa,0,0,0,0,0,0,0,0,error
16,dki_faPostParietal,dki_fa,0,0,0,0,0,0,0,0,error
40,dki_mdPostParietal,dki_md,0,0,0,0,0,0,0,0,error
28,dki_mdAntFrontal,dki_md,0,0,0,0,0,0,0,0,error
4,dki_faAntFrontal,dki_fa,0,0,0,0,0,0,0,0,error
17,dki_faSLF_L,dki_fa,0,0,0,0,0,0,0,0,error
41,dki_mdSLF_L,dki_md,0,0,0,0,0,0,0,0,error
29,dki_mdCGC_L,dki_md,0,0,0,0,0,0,0,0,error
5,dki_faCGC_L,dki_fa,0,0,0,0,0,0,0,0,error
18,dki_faSLF_R,dki_fa,0,0,0,0,0,0,0,0,error
42,dki_mdSLF_R,dki_md,0,0,0,0,0,0,0,0,error
30,dki_mdCGC_R,dki_md,0,0,0,0,0,0,0,0,error
6,dki_faCGC_R,dki_fa,0,0,0,0,0,0,0,0,error
19,dki_faSupFrontal,dki_fa,0,0,0,0,0,0,0,0,error
43,dki_mdSupFrontal,dki_md,0,0,0,0,0,0,0,0,error
31,dki_mdCST_L,dki_md,0,0,0,0,0,0,0,0,error
7,dki_faCST_L,dki_fa,0,0,0,0,0,0,0,0,error
20,dki_faSupParietal,dki_fa,0,0,0,0,0,0,0,0,error
44,dki_mdSupParietal,dki_md,0,0,0,0,0,0,0,0,error
32,dki_mdCST_R,dki_md,0,0,0,0,0,0,0,0,error
8,dki_faCST_R,dki_fa,0,0,0,0,0,0,0,0,error
21,dki_faTemporal,dki_fa,0,0,0,0,0,0,0,0,error
45,dki_mdTemporal,dki_md,0,0,0,0,0,0,0,0,error
33,dki_mdIFO_L,dki_md,0,0,0,0,0,0,0,0,error
9,dki_faIFO_L,dki_fa,0,0,0,0,0,0,0,0,error
22,dki_faUNC_L,dki_fa,0,0,0,0,0,0,0,0,error
46,dki_mdUNC_L,dki_md,0,0,0,0,0,0,0,0,error
34,dki_mdIFO_R,dki_md,0,0,0,0,0,0,0,0,error
10,dki_faIFO_R,dki_fa,0,0,0,0,0,0,0,0,error
23,dki_faUNC_R,dki_fa,0,0,0,0,0,0,0,0,error
47,dki_mdUNC_R,dki_md,0,0,0,0,0,0,0,0,error
35,dki_mdILF_L,dki_md,0,0,0,0,0,0,0,0,error
11,dki_faILF_L,dki_fa,0,0,0,0,0,0,0,0,error
